question,qid,aliases,pred,correct
Who played Aunty Entity' in the film 'Mad Max Beyond the Thunderdome'?,qz_5898,tinna turner|tina turner s|tina turner|tina tuner|anna bullock|annie mae bullock|anna mae bullock,Tina Turner played 'Aunty Entity' in the film 'Mad Max Beyond Thunderdome'.,True
"For a point each, name the 9 countries surrounding Germany.",qg_2701,denmark poland czech republic austria switzerland france luxembourg belgium and netherlands,"Austria, Belgium, Czech Republic, Denmark, France, Luxembourg, Netherlands, Poland, Switzerland.",False
"""Which composer's operas are famously staged in the town of Bayreuth (say """"Bye-royt"""")?""",dpql_1648,wagner|wagnerian|ricard wagner|w r wagner|richard wagner|wagnerian opera|r wagner|wilhelm richard wagner|w richard wagner|wagner s|richard wagnerr,Richard Wagner,True
Which celebrated battle was fought near Brno on 2nd December 1805?,dpql_4053,austerlitz|austerlitz disambiguation,Battle of Austerlitz near Brno.,True
Which drink is known as ‘The Wine of Islam’?,qb_5712,joe coffee|health effects of coffee|specialty coffees|brazilian coffee|kaffee|roasted coffee|kawha|coffe|caffé|ginseng coffee|cup of joe|health and pharmacology of coffee|coffee bags|coffee and health|cafe de columbia|gavaccino|coffee brewing method|health effect of coffee|regular coffee|coffee brews|coffee|coffee drink|medical effects of coffee|effects of coffee|gourmet coffee,"Answer: Kahwa or Arabic coffee, not a wine, is known as the ""Wine of Islam""",True
What is the name for a set of marks stamped on gold and silver articles to attest to the genuineness of the metal and the year of testing?,qw_984,hallmark|hallmarks|hall mark,Hallmark,True
Which city is the capital of the Spanish region of Aragon?,odql_15048,saragosa|zaragoza|saragosse|zaragossa|un locode eszaz|zaragosa|zaragoza spain|caesaraugusta|saragossa|saragossa spain|saragozza spain|zgz|zaragoza zaragoza,"Zaragoza is the capital city of Aragon, Spain.",True
Krakatoa is part of which country?,sfq_10299,wildlife of indonesia|ecology of indonesia|indnonesia|indonesie|iso 3166 1 id|indonesia|unitary state of republic of indonesia|indonesian republic|indonésie|indonezio|indonesia republic of|indonesian government|indonesian empire|indonisia|indonnesia|indoneshia|etymology of indonesia|republic of indonesia|world s most populous muslim nation|republik indonesia,Krakatoa is part of Indonesia.,True
"In Greek mythology, who were the band of heroes who accompanied Jason to Colchis in his quest to find the Golden Fleece?",qw_6209,argonavtebi|არგონავტები|argonautai|argonauts|argonautic|αργοναύται|argonaut,"The Argonauts, led by Jason, embarked on the quest for the Golden Fleece, accompanied",True
In which form of pool (pocket billiards) are the balls formed into a diamond pattern?,qg_2424,nine ball|9 ball pool|9 ball|nineball|9ball|six ball,Eight-ball: Rack in a diamond shape before starting the game.,False
