setting,bank,dim,auc_wide,auc_reported,delta
halueval_qwen1.5b,SINK,56,0.821708,0.819896,0.0018120000000000358
halueval_qwen1.5b,0D,56,0.793388,0.789124,0.0042639999999999345
halueval_qwen1.5b,1D,112,0.74708,0.74708,0.0
halueval_qwen1.5b,DEFL,168,0.824588,0.824588,0.0
halueval_qwen1.5b,ANS,168,0.97164,0.972152,-0.000512000000000068
halueval_qwen1.5b,LEN,2,0.966936,0.96724,-0.00030399999999997096
halueval_qwen1.5b,ROWSTAT,56,0.788076,0.787712,0.00036400000000003097
halueval_qwen1.5b,LOGPROB,6,0.99792,0.994536,0.0033840000000000536
halueval_qwen1.5b,LLMCHECK,28,0.78878,0.790932,-0.0021519999999999317
halueval_qwen1.5b,LOOKBACK,336,0.99902,0.99884,0.000180000000000069
halueval_qwen1.5b,PH_SINK,336,0.922456,0.922456,0.0
halueval_qwen1.5b,PH_0D,672,0.948756,0.948756,0.0
halueval_qwen1.5b,PH_0DTOT,336,0.921152,0.920772,0.00037999999999993594
halueval_qwen1.5b,PH_ENT,336,0.932956,0.932956,0.0
halueval_qwen1.5b,HIDDEN,1536,0.99962,0.999584,3.599999999992498e-05
halueval_qwen1.5b,NONTOPO,1962,0.999768,0.999772,-4.000000000004e-06
halueval_qwen3b,SINK,72,0.832325,0.828583,0.003742000000000023
halueval_qwen3b,0D,72,0.819158,0.810976,0.008182000000000023
halueval_qwen3b,1D,144,0.709538,0.710115,-0.0005770000000000497
halueval_qwen3b,DEFL,216,0.852128,0.833862,0.018266000000000004
halueval_qwen3b,ANS,216,0.979304,0.978451,0.0008529999999999927
halueval_qwen3b,LEN,2,0.961526,0.962309,-0.0007829999999999782
halueval_qwen3b,ROWSTAT,72,0.835235,0.82937,0.005864999999999898
halueval_qwen3b,LOGPROB,6,0.993212,0.992844,0.00036800000000003497
halueval_qwen3b,LLMCHECK,36,0.744588,0.744861,-0.0002729999999999677
halueval_qwen3b,LOOKBACK,576,0.997415,0.997949,-0.0005339999999999234
halueval_qwen3b,PH_SINK,576,0.958083,0.958083,0.0
halueval_qwen3b,PH_0D,1152,0.970542,0.970542,0.0
halueval_qwen3b,PH_0DTOT,576,0.95784,0.95784,0.0
