setting,row,question,pred,string_match,judge,judge_raw
triviaqa_mistral,0,Who played Aunty Entity' in the film 'Mad Max Beyond the Thunderdome'?,Tina Turner played 'Aunty Entity' in the film 'Mad Max Beyond Thunderdome'.,1,1,correct
triviaqa_mistral,1,"For a point each, name the 9 countries surrounding Germany.","Austria, Belgium, Czech Republic, Denmark, France, Luxembourg, Netherlands, Poland, Switzerland.",0,1,correct
triviaqa_mistral,2,"""Which composer's operas are famously staged in the town of Bayreuth (say """"Bye-royt"""")?""",Richard Wagner,1,1,correct
triviaqa_mistral,3,Which celebrated battle was fought near Brno on 2nd December 1805?,Battle of Austerlitz near Brno.,1,1,correct
triviaqa_mistral,4,Which drink is known as ‘The Wine of Islam’?,"Answer: Kahwa or Arabic coffee, not a wine, is known as the ""Wine of Islam""",1,0,incorrect
triviaqa_mistral,5,What is the name for a set of marks stamped on gold and silver articles to attest to the genuineness of the metal and the year of testing?,Hallmark,1,1,correct
triviaqa_mistral,6,Which city is the capital of the Spanish region of Aragon?,"Zaragoza is the capital city of Aragon, Spain.",1,1,correct
triviaqa_mistral,7,Krakatoa is part of which country?,Krakatoa is part of Indonesia.,1,1,correct
triviaqa_mistral,8,"In Greek mythology, who were the band of heroes who accompanied Jason to Colchis in his quest to find the Golden Fleece?","The Argonauts, led by Jason, embarked on the quest for the Golden Fleece, accompanied",1,1,correct
triviaqa_mistral,9,In which form of pool (pocket billiards) are the balls formed into a diamond pattern?,Eight-ball: Rack in a diamond shape before starting the game.,0,0,incorrect
triviaqa_mistral,10,The White Rose Shopping Centre is in which English city?,Leeds,1,1,correct
triviaqa_mistral,11,Which controversial mogul/celebrity/politician demanded a ban on all Muslims entering the USA in 2015?,Donald Trump called for a Muslim travel ban in 2015.,1,1,correct
triviaqa_mistral,12,What would a Scotsman do with a spurtle?,A Scotsman would use a spurtle for stirring oatmeal or other dishes.,0,0,incorrect
triviaqa_mistral,13,The North Sea and the Baltic Sea are linked through which canal?,The Danish Straits and the Belts Sea are not canals but a series of narrow bodies of water connecting the,0,0,incorrect
